country,year,working_days,weekend1,weekend2
Afghanistan,2019,245,Thursday,Friday
Albania,2019,250,Saturday,Sunday
Algeria,2019,253,Friday,Saturday
American Samoa,2019,248,Saturday,Sunday
Andorra,2019,250,Saturday,Sunday
Angola,2019,249,Saturday,Sunday
Anguilla,2019,247,Saturday,Sunday
Antigua and Barbuda,2019,250,Saturday,Sunday
Argentina,2019,245,Saturday,Sunday
Armenia,2019,248,Saturday,Sunday
Aruba,2019,251,Saturday,Sunday
Australia,2019,255,Saturday,Sunday
Austria,2019,250,Saturday,Sunday
Azerbaijan,2019,242,Saturday,Sunday
Bahamas,2019,250,Saturday,Sunday
Bahrain,2019,247,Friday,Saturday
Bangladesh,2019,236,Friday,Saturday
Barbados,2019,250,Saturday,Sunday
Belarus,2019,252,Saturday,Sunday
Belgium,2019,249,Saturday,Sunday
Belize,2019,248,Saturday,Sunday
Benin,2019,250,Saturday,Sunday
Bermuda,2019,251,Saturday,Sunday
Bhutan,2019,247,Saturday,Sunday
Bolivia,2019,251,Saturday,Sunday
Bosnia and Herzegovina,2019,247,Saturday,Sunday
Botswana,2019,247,Saturday,Sunday
Brazil,2019,249,Saturday,Sunday
British Virgin Islands,2019,246,Saturday,Sunday
Brunei,2019,246,Friday,Sunday
Bulgaria,2019,249,Saturday,Sunday
Burkina Faso,2019,249,Saturday,Sunday
Burundi,2019,250,Saturday,Sunday
Cambodia,2019,240,Saturday,Sunday
Cameroon,2019,251,Saturday,Sunday
Canada,2019,251,Saturday,Sunday
Cape Verde,2019,255,Saturday,Sunday
Cayman Islands,2019,248,Saturday,Sunday
Central African Republic,2019,250,Saturday,Sunday
Chad,2019,252,Saturday,Sunday
Chile,2019,249,Saturday,Sunday
China,2019,246,Saturday,Sunday
Colombia,2019,243,Saturday,Sunday
Comoros,2019,252,Saturday,Sunday
Congo DR,2019,253,Saturday,Sunday
Cook Islands,2019,251,Saturday,Sunday
Costa Rica,2019,252,Saturday,Sunday
Croatia,2019,251,Saturday,Sunday
Cuba,2019,252,Saturday,Sunday
Curaçao,2019,251,Saturday,Sunday
Cyprus,2019,247,Saturday,Sunday
Czech Republic,2019,251,Saturday,Sunday
Denmark,2019,250,Saturday,Sunday
Djibouti,2019,302,Friday,Friday
Dominica,2019,248,Saturday,Sunday
